Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2019,7,General City Responsibilities,232303,,790,"SEIU, Local 1021, Misc",1800,"Budget, Admn & Stats Analysis",1842,Management Assistant,8528805,79962.06,0,0,79962.06,15285.49,11935.8,6502.5,48405.57,128367.63
Calendar,2019,7,General City Responsibilities,229042,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1458,Legal Secretary 1,8565278,78400,0,552,78952,15092.39,11935.82,6040.34,47750.27,126702.27
Calendar,2019,1,Public Protection,FIR,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H002,Firefighter,8552365,111114.23,13744.78,18996.77,143855.78,24735.08,13475.68,2727.41,58910.33,202766.11
Calendar,2019,7,General City Responsibilities,232300,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,8601609,41997.9,8544.26,935.69,51477.85,8371.13,11935.78,4246.02,29620.05,81097.9
Calendar,2019,5,Culture & Recreation,WAR,,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7334,Stationary Engineer,8578679,20226.34,137.82,0,20364.16,0,0,1585.12,1585.12,21949.28
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8518222,82380.14,5350.44,3546.54,91277.12,16134.8,6916.46,7357.25,38963.95,130241.07
Calendar,2019,7,General City Responsibilities,240658,,250,"SEIU, Local 1021, Misc",2300,Nursing,2303,Patient Care Assistant,8559236,55164.81,4898.12,0,60062.93,10509.93,11950.58,4648.1,41660.25,101723.18
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,200,"TWU, Local 200",9100,Street Transit,9139,Transit Supervisor,8565222,87944,28866.15,8689.1,125499.25,18612.97,11462,9765.4,54520.07,180019.32
Calendar,2019,6,General Administration & Finance,REG,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1403,Elections Clerk,8584152,58297.14,0,0,58297.14,8683.28,11906.18,5058.79,39811.75,98108.89
Calendar,2019,7,General City Responsibilities,102644,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2719,Janitorial Svcs Asst Sprv,8495816,37856,5064.92,675.58,43596.5,7363.35,11935.78,3561.97,25961.92,69558.42
Calendar,2019,7,General City Responsibilities,232108,,911,POA,Q000,Police Services,Q002,Police Officer,8501802,108004.18,0,11213.79,119217.97,19651.67,11654.5,1967.41,47659.92,166877.89
Calendar,2019,2,"Public Works, Transportation & Commerce",AIR,,790,"SEIU, Local 1021, Misc",9200,Airport Operation,9202,Airport Communications Disp,8592368,83499,37397.17,8219.29,129115.46,17542.03,11935.78,9780.96,53926.17,183041.63
Calendar,2019,1,Public Protection,FIR,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H008,EMT Paramedic,8552277,3024.47,0,70.72,3095.19,0,0,52.17,52.17,3147.36
Calendar,2019,7,General City Responsibilities,232118,,21,"Prof & Tech Eng, Local 21",5500,Construction Project Mgmt,5502,Project Manager 1,8529018,50307.6,0,0,50307.6,0,0,3904.67,3904.67,54212.27
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,580,"Cement Masons, Local 300 (580)",7300,Journeyman Trade,7398,Apprentice Cement Mason I,8551736,37164.05,498.58,0,37662.63,6270.43,0,3108.77,9379.2,47041.83
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7318,Electronic Maintenance Tech,8560894,55697.64,0,0,55697.64,11600.19,1193.58,5073.6,31045.23,86742.87
Calendar,2019,6,General Administration & Finance,ADM,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,8553075,13666.68,0,816.16,14482.84,3256.18,0,1288.14,4544.32,19027.16
Calendar,2019,7,General City Responsibilities,240658,,790,"SEIU, Local 1021, Misc",1600,"Payroll, Billing & Accounting",1632,Senior Account Clerk,8546439,59755.55,0,211.8,59967.35,12296.12,11136.26,5239.05,43114.61,103081.96
Calendar,2019,1,Public Protection,POL,,790,"SEIU, Local 1021, Misc",9200,Airport Operation,9209,Community Police Services Aide,8577188,62151.14,2126.65,4653.01,68930.8,12770.62,11935.8,5573.44,44889.54,113820.34
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8507488,2527.6,0,99.95,2627.55,0,0,125.88,125.88,2753.43
Calendar,2019,7,General City Responsibilities,240658,,164,"Physician/Dentists 8-CC, UAPD",2200,Medical & Dental,2210,Dentist,8544689,108414.8,0,0,108414.8,20203.37,10721.66,6700.52,44548.49,152963.29
Calendar,2019,7,General City Responsibilities,229347,,790,"SEIU, Local 1021, Misc",6300,Construction Inspection,6323,Permit Technician III,8580277,10488,0,0,10488,2004.27,3580.7,850.28,6324.53,16812.53
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3435,Urban Forestry Inspector,8503499,65214.21,0,0,65214.21,12489.74,9936.92,5158.71,41641.79,106856
Calendar,2019,7,General City Responsibilities,240658,,21,"Prof & Tech Eng, Local 21",1000,Information Systems,1041,IS Engineer-Assistant,8510357,96207.31,0,0,96207.31,18394.79,11935.76,7627.35,52625.3,148832.61
Calendar,2019,6,General Administration & Finance,MYR,,2,Mgt. Unrepresented Employees,0,Untitled,889,Mayoral Staff IX,9490163,39407,0,0,39407,7530.66,10801.46,7378.62,28760.68,68167.68
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,351,"Municipal Exec Assoc, Misc",900,Management,954,Dep Dir IV,8559646,215923.93,0,0,215923.93,40722.51,0,30866.45,71588.96,287512.89
Calendar,2019,7,General City Responsibilities,229259,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,420C,Deputy Court Clerk II,8534690,52403.19,0,1360,53763.19,12089,11817.34,4456.95,42918.41,96681.6
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,216,"Teamsters, Local 853",7300,Journeyman Trade,7355,Truck Driver,8555171,24179.03,1768.46,6346.57,32294.06,4825.5,8189.8,2587.69,15326.57,47620.63
Calendar,2019,7,General City Responsibilities,229975,,718,"Glaziers, Local 718",7200,Supervisory-Labor & Trade,7233,Glazier Supervisor 1,8524502,99924.29,0,164.54,100088.83,19121,0,8066.83,27187.83,127276.66
Calendar,2019,4,Community Health,DPH,,250,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2736,Porter,8588320,0,18.41,0,18.41,0,0,1.46,1.46,19.87
Calendar,2019,7,General City Responsibilities,102644,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5290,Transportation Planner IV,8566296,107616.11,0,0,107616.11,20065.8,11935.82,8387.54,54869.08,162485.19
Calendar,2019,7,General City Responsibilities,232343,,16,"Theatrical Stage Emp, Local 16",1700,Computer Operatns & Repro Svcs,1767,Media Programming Spec,8527319,70567,36.44,1707.92,72311.36,13815.98,11935.8,5820.29,46239.41,118550.77
Calendar,2019,7,General City Responsibilities,228996,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,9850139,18099,603.3,1388.21,20090.51,4200.87,10751.26,1558.89,16213.98,36304.49
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8602622,0,479.62,0,479.62,0,0,37.23,37.23,516.85
Calendar,2019,2,"Public Works, Transportation & Commerce",AIR,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,8595889,49112.5,2456.69,4185.48,55754.67,11984.68,11935.78,4256.22,42858.44,98613.11
Calendar,2019,7,General City Responsibilities,240658,,250,"SEIU, Local 1021, Misc",2400,"Lab, Pharmacy & Med Techs",2424,Diagnostic Imaging Assistant,8577271,62587.9,420.55,0,63008.45,11920.43,11921,5140.09,43663.64,106672.09
Calendar,2019,7,General City Responsibilities,102644,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8214,Parking Control Officer,8515719,34418.08,693.14,686.21,35797.43,5436.13,1689.88,3706.73,23185.04,58982.47
Calendar,2019,7,General City Responsibilities,232108,,21,"Prof & Tech Eng, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,8533488,116806.68,0,0,116806.68,21756.86,11935.78,8783.65,57057.15,173863.83
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,790,"SEIU, Local 1021, Misc",2900,Human Services,2920,Medical Social Worker,8534610,39694.02,0,0,39694.02,7585.51,10381.1,3172.32,22184.79,61878.81
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8760036,29060.42,3110.88,2252.58,34423.88,6935.12,12083.86,2643.37,28074.37,62498.25
Calendar,2019,2,"Public Works, Transportation & Commerce",DBI,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1446,Secretary 2,8497267,65040.5,0,0,65040.5,12433.11,11935.8,5108.81,43566.74,108607.24
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,9630148,43896.82,4428.6,1535.24,49860.66,8459.47,7641.98,3459.85,21421.92,71282.58
Calendar,2019,5,Culture & Recreation,LIB,,790,"SEIU, Local 1021, Misc",3600,Library,3602,Library Page,8556071,9336.69,0,161.41,9498.1,2135.17,0,766.72,2901.89,12399.99
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,535,"SEIU, Local 1021, Misc",2900,Human Services,2918,HSA Social Worker,8556332,52544,19.21,1180,53743.21,10266.65,11935.8,4161.25,37562.3,91305.51
Calendar,2019,4,Community Health,DPH,,250,"SEIU, Local 1021, Misc",2300,Nursing,2312,Licensed Vocational Nurse,8760022,13679.19,0,664.36,14343.55,576.19,1354.5,1111.54,2957.69,17301.24
Calendar,2019,2,"Public Works, Transportation & Commerce",ECN,,790,"SEIU, Local 1021, Misc",9700,Community Development,9774,Sr. Community Devl Spc 1,8597117,91256.01,0,0,91256.01,17438.96,11935.82,7423.83,50323.69,141579.7
Calendar,2019,5,Culture & Recreation,REC,,22,"Prof & Tech Eng, Local 21",1200,Personnel,1241,Human Resources Analyst,8601440,90689.02,0,0,90689.02,17335.97,11950.58,7293.43,51246.98,141936
Calendar,2019,7,General City Responsibilities,229982,,250,"SEIU, Local 1021, Misc",7500,Semi-Skilled & General Labor,7524,Institution Utility Worker,8515182,47063.7,8296.91,0,55360.61,10582.85,11935.76,4466.61,41652.64,97013.25
Calendar,2019,7,General City Responsibilities,208646,,38,"Plumbers, Local 38",7200,Supervisory-Labor & Trade,7250,Utility Plumber Supervisor 1,8543473,106363.45,28861.14,5815.64,141040.23,21198.75,11935.86,9490.28,56135.37,197175.6
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7366,Transit Power Line Worker,8584202,27469.31,25104.89,0,52574.2,4948.84,6487.06,4351.58,16640.2,69214.4
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q052,Sergeant 3,8495649,125242.25,38168.49,39932.08,203342.82,23760.79,11935.8,3455.68,52664.49,256007.31
Calendar,2019,7,General City Responsibilities,229975,,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,8559842,63392,7770.48,21.6,71184.08,12122.54,11935.8,5785.6,44511.26,115695.34
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5211,Eng/Arch/Landscape Arch Sr,8520244,132779.49,0,0,132779.49,24728.13,11950.62,8336.74,54665.39,187444.88
Calendar,2019,7,General City Responsibilities,232108,,911,POA,Q000,Police Services,Q052,Sergeant 3,8507321,122341.25,26582.49,24010.11,172933.85,22857.28,11639.66,2942.64,49657.46,222591.31
Calendar,2019,2,"Public Works, Transportation & Commerce",ECN,,21,"Prof & Tech Eng, Local 21",2900,Human Services,2992,Contract Compliance Officer 1,8525913,94204.01,0,0,94204.01,18002.38,11935.8,7520.15,50969.01,145173.02
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,351,"Municipal Exec Assoc, Misc",900,Management,932,Manager IV,8526493,154770,0,0,154770,28827.64,0,30402.3,59229.94,213999.94
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8513337,120776.65,8891.46,4786.48,134454.59,23344.46,10692.1,8049.51,54925.93,189380.52
Calendar,2019,7,General City Responsibilities,228883,,351,"Municipal Exec Assoc, Misc",900,Management,952,Dep Dir II,8601325,80769.26,0,0,80769.26,15039.25,11935.82,11964.58,44353.67,125122.93
Calendar,2019,4,Community Health,DPH,,535,"SEIU, Local 1021, Misc",2900,Human Services,2903,Hospital Eligibility Worker,8517921,66707,608.66,1472,68787.66,13009.06,11950.56,5618.23,45244.87,114032.53
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,8542298,0,13.24,0,13.24,0,0,1.05,1.05,14.29
Calendar,2019,7,General City Responsibilities,232048,,790,"SEIU, Local 1021, Misc",3600,Library,3610,Library Assistant,8586760,35204.5,0,316.8,35521.3,6993.8,9581.56,2799.6,25086.12,60607.42
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5203,Assistant Engineer,8544047,27580,44.8,1512.18,29136.98,5559.53,8355.02,2279.26,15935.41,45072.39
Calendar,2019,7,General City Responsibilities,102644,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8553436,67639.26,26971.1,6808.34,101418.7,14108.37,12246.74,7847.74,49120.09,150538.79
Calendar,2019,7,General City Responsibilities,240658,,790,"SEIU, Local 1021, Misc",2500,Med Therapy & Auxiliary,2588,Health Worker 4,8511980,77060.82,0,0,77060.82,14730.7,11950.6,6164.7,47512.98,124573.8
Calendar,2019,7,General City Responsibilities,232331,,498,Deputy Sheriffs' Assoc (DSA),8300,Correction & Detention,8304,Deputy Sheriff,8586664,97237.95,16463.85,14840.62,128542.42,37301.57,11758.1,2183.98,65727.89,194270.31
Calendar,2019,7,General City Responsibilities,230010,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H030,"Captain, Fire Suppression",8584701,141808.99,26657.39,18275.59,186741.97,28758.57,14660.12,3070.46,64084.29,250826.26
Calendar,2019,4,Community Health,DPH,,858,"Teamsters, Local 856, Spv RN",2300,Nursing,2326,Nursing Supervisor Psychiatric,8581274,205496.5,0,32343.74,237840.24,42104.48,11935.76,10964.62,79093.9,316934.14
Calendar,2019,5,Culture & Recreation,REC,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3428,Nursery Specialist,8604624,70577.95,2190.92,0,72768.87,13491.96,10159.02,6024.3,44244.98,117013.85
Calendar,2019,1,Public Protection,SHF,,499,Sheriffs' Mgrs and Supv (MSA),8300,Correction & Detention,8310,Sheriff's Lieutenant,8526744,113698.01,0,13456.78,127154.79,40129.62,7553.14,1753.55,64218.39,191373.18
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",5100,Administrative-DPW/PUC,5174,Administrative Engineer,8514761,126810.46,0,0,126810.46,23627.9,11965.42,8531.61,55509.43,182319.89
Calendar,2019,1,Public Protection,CRT,,196,Court-Unrep Management,0,Untitled,947C,Duty Officer,8578762,78516.9,0,0,78516.9,17655.47,0,31735.11,49390.58,127907.48
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8550722,0,342.6,0,342.6,0,0,27.14,27.14,369.74
Calendar,2019,7,General City Responsibilities,240658,,21,"Prof & Tech Eng, Local 21",2500,Med Therapy & Auxiliary,2548,Occupational Therapist,8508901,22859.39,0,0,22859.39,0,0,1774.25,1774.25,24633.64
Calendar,2019,4,Community Health,DPH,,250,"SEIU, Local 1021, Misc",2300,Nursing,2303,Patient Care Assistant,8565830,47909.21,3980.32,3930.85,55820.38,9910.15,10055.4,4515.63,37280.04,93100.42
Calendar,2019,7,General City Responsibilities,232108,,21,"Prof & Tech Eng, Local 21",1000,Information Systems,1042,IS Engineer-Journey,8592505,116020,0,0,116020,22214.7,11935.8,9547.26,58365.12,174385.12
Calendar,2019,1,Public Protection,FIR,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H002,Firefighter,8548357,106882.75,0,10636.05,117518.8,20636.2,14304.74,1984.89,54876.37,172395.17
Calendar,2019,1,Public Protection,SHF,,498,Deputy Sheriffs' Assoc (DSA),8300,Correction & Detention,8304,Deputy Sheriff,8526966,97947.23,13395.27,8368.97,119711.47,34756.18,11950.58,2155.78,63515.08,183226.55
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",2400,"Lab, Pharmacy & Med Techs",2483,Biologist,8542990,97442.09,0,9809.2,107251.29,18627.02,11950.64,8517.93,53748.09,160999.38
Calendar,2019,7,General City Responsibilities,228996,,21,"Prof & Tech Eng, Local 21",5300,Sub-Professional Engineering,5362,Engineering Assistant,8592373,55332.87,85.67,0,55418.54,10576.6,11476.78,4260.54,35789.68,91208.22
Calendar,2019,7,General City Responsibilities,240658,,790,"SEIU, Local 1021, Misc",2400,"Lab, Pharmacy & Med Techs",2450,Pharmacist,8591589,118181.09,0,0,118181.09,22139.76,9448.36,8786.86,51949.72,170130.81
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q004,Police Officer 3,8493154,115482.56,35151.38,5864.08,156498.02,21243.66,10899.42,2642.29,49205.83,205703.85
Calendar,2019,7,General City Responsibilities,230010,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H002,Firefighter,8584866,80345.22,5144.91,6994.37,92484.5,16076.48,15015.5,1549.3,50227.06,142711.56
Calendar,2019,7,General City Responsibilities,228996,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,8587072,55996.69,2770.39,2692.77,61459.85,11219.45,11876.6,4976.82,42741.79,104201.64
Calendar,2019,7,General City Responsibilities,228883,,790,"SEIU, Local 1021, Misc",1300,Pub Relations & Spec Assts,1324,Customer Service Agent,8499089,60810.21,3281.09,2174.79,66266.09,12040.51,11935.76,5322.83,43937.66,110203.75
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8512150,110599.82,11279.57,45136.25,167015.64,24161.96,9359.52,8374.53,52986.85,220002.49
Calendar,2019,5,Culture & Recreation,FAM,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8226,Museum Guard,8565472,45625.72,8284.58,3652.65,57562.95,9421.28,6960.88,4742.16,33571.7,91134.65
Calendar,2019,7,General City Responsibilities,229975,,21,"Prof & Tech Eng, Local 21",6200,Public Safety Inspection,6230,Street Inspector,8547926,0,0,0,0,0,0,146.88,146.88,146.88
Calendar,2019,7,General City Responsibilities,232300,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,8601880,41997.91,8520.99,2849.88,53368.78,8743.42,11935.8,4405.2,30151.54,83520.32
Calendar,2019,1,Public Protection,SHF,,499,Sheriffs' Mgrs and Supv (MSA),8300,Correction & Detention,8310,Sheriff's Lieutenant,8583082,76111.3,0,50874.58,126985.88,29127.87,897.28,2210.21,46669.76,173655.64
Calendar,2019,7,General City Responsibilities,102644,,3,"Operating Engineers, Local 3",7300,Journeyman Trade,7328,"Operating Engineer, Universal",8588495,97886.45,10702.36,11333.41,119922.22,20823.94,11521.2,9713.02,56491.26,176413.48
Calendar,2019,4,Community Health,DPH,,21,"Prof & Tech Eng, Local 21",1600,"Payroll, Billing & Accounting",1657,Accountant IV,8509785,112764.04,0,0,112764.04,21003.9,11950.58,8983.07,56618.93,169382.97
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,535,"SEIU, Local 1021, Misc",2900,Human Services,2944,Protective Services Supervisor,8551317,51386.4,0,654.23,52040.63,10856.93,11935.78,4584.34,28280.25,80320.88
Calendar,2019,5,Culture & Recreation,REC,,790,"SEIU, Local 1021, Misc",3200,Recreation,3279,Recreation Leader,10280144,5501.25,0,0,5501.25,0,0,426.99,426.99,5928.24
Calendar,2019,7,General City Responsibilities,228855,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8226,Museum Guard,8587434,62293.58,866.2,550.21,63709.99,12039.69,11861.74,5274.12,43844.87,107554.86
Calendar,2019,4,Community Health,DPH,,790,"SEIU, Local 1021, Misc",1900,Purchasing & Storekeeping,1932,Assistant Storekeeper,8506717,47048.7,8781.37,257.35,56087.42,10732.76,11935.78,4722.38,42072.7,98160.12
Calendar,2019,7,General City Responsibilities,102644,,254,"TWU, Local 250-A, TranFare",9100,Street Transit,9132,Transit Fare Inspector,10520165,7434.08,0,246.36,7680.44,1461.11,3629.48,610.38,5590.31,13270.75
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8214,Parking Control Officer,8501667,0,713.38,0,713.38,0,28.98,1877.6,13153.7,13867.08
Calendar,2019,4,Community Health,DPH,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,8535725,43890,0,0,43890,9866.51,11935.72,3385.43,35228.42,79118.42
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,790,"SEIU, Local 1021, Misc",9500,MTA Operations,9506,Snr Permit and Citation Clerk,8581335,74752.01,1232.53,359.19,76343.73,14358.13,11891.4,6254.05,47172.06,123515.79
Calendar,2019,7,General City Responsibilities,102644,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5241,Engineer,8511463,119428.59,0,2488.39,121916.98,22723.33,11950.58,9523.31,55893.78,177810.76
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q052,Sergeant 3,8506775,133737.02,2198.42,6074.03,142009.47,24443.72,11787.72,2518.76,53392.58,195402.05
Calendar,2019,5,Culture & Recreation,LIB,,790,"SEIU, Local 1021, Misc",3600,Library,3602,Library Page,8556046,17332.32,0,755.18,18087.5,4224.72,5909.64,1537.73,15013.07,33100.57
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q002,Police Officer,8576499,94742.4,40920.15,3155.89,138818.44,18062.93,11935.76,2387.84,46765.53,185583.97
Calendar,2019,7,General City Responsibilities,208646,,38,"Plumbers, Local 38",7300,Journeyman Trade,7388,Utility Plumber,8543619,100061,27960.8,15359.44,143381.24,18803.05,11935.8,9942.84,55349.03,198730.27
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",5600,Energy & Environment,5602,Utility Specialist,8553031,126110.01,0,0,126110.01,23489.72,11935.8,9600.44,59707.68,185817.69
Calendar,2019,1,Public Protection,FIR,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H022,"Lieut,Fire Prev",8557138,140720.05,36199.46,8994.54,185914.05,27167.64,11950.54,3162.63,56947.83,242861.88
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q002,Police Officer,8506937,80923.26,8402.92,2212.73,91538.91,15611.24,11787.72,1534.32,43186.38,134725.29
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8583878,5931.31,358.17,250,6539.48,1133.73,1275.28,393.42,4195.27,10734.75
Calendar,2019,7,General City Responsibilities,240658,,250,"SEIU, Local 1021, Misc",7500,Semi-Skilled & General Labor,7524,Institution Utility Worker,8532351,50985.15,382.87,0,51368.02,11464.78,11876.56,4679.8,42690.08,94058.1
Calendar,2019,7,General City Responsibilities,102644,,130,"Auto Machinist, Local 1414",7300,Journeyman Trade,7381,Automotive Mechanic,8534762,61039.2,25533.34,517.39,87089.93,12283.78,11935.8,7180.22,39589.84,126679.77
Calendar,2019,7,General City Responsibilities,102644,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8563132,49090.77,3246.79,2255.13,54592.69,11429.95,12409.58,4176.24,43564.67,98157.36
Calendar,2019,5,Culture & Recreation,LIB,,790,"SEIU, Local 1021, Misc",3600,Library,3630,Librarian 1,8556214,79710.31,0,856.6,80566.91,15401.37,11950.62,6548.19,48567.12,129134.03
Calendar,2019,7,General City Responsibilities,232108,,21,"Prof & Tech Eng, Local 21",8100,Legal & Court,8173,Legal Assistant,8508095,75833.12,3249.16,0,79082.28,14496.11,11935.78,6222.72,47321.97,126404.25
Calendar,2019,4,Community Health,DPH,,790,"SEIU, Local 1021, Misc",2500,Med Therapy & Auxiliary,2587,Health Worker 3,8567882,0,4.72,0,4.72,0,0,0.37,0.37,5.09
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,200,"TWU, Local 200",9100,Street Transit,9139,Transit Supervisor,8574118,90505,84.64,2858,93447.64,17799.47,11935.82,7642.18,52044.83,145492.47
Calendar,2019,6,General Administration & Finance,ADM,,790,"SEIU, Local 1021, Misc",9700,Community Development,9770,Community Development Asst,10400150,8523.9,0,0,8523.9,0,3999.62,627.1,4506.38,13030.28
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8519098,92605.77,853.17,3065.69,96524.63,17764.53,9004.16,7684.52,43170.29,139694.92
Calendar,2019,7,General City Responsibilities,232331,,790,"SEIU, Local 1021, Misc",8400,Probation & Parole,8420,Rehabilitation Svcs Coord,8513918,72626,0,0,72626,13883.32,11698.88,5879.37,45788.11,118414.11
Calendar,2019,5,Culture & Recreation,FAM,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8226,Museum Guard,8568918,47128.17,1554.09,456.31,49138.57,9983.02,8485.92,4397.45,36383.89,85522.46
Calendar,2019,7,General City Responsibilities,228883,,790,"SEIU, Local 1021, Misc",1300,Pub Relations & Spec Assts,1322,Customer Service Agent Trainee,8548970,10697.4,9.23,227.96,10934.59,0,0,884.76,884.76,11819.35
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,8560745,83500.03,31262.81,9516.61,124279.45,18053.58,11935.78,9661.41,54318.13,178597.58
Calendar,2019,7,General City Responsibilities,102644,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8201,School Crossing Guard,8603569,8204.76,0,0,8204.76,0,0,636.82,636.82,8841.58
Calendar,2019,1,Public Protection,POL,,790,"SEIU, Local 1021, Misc",9200,Airport Operation,9209,Community Police Services Aide,8493940,67277.71,756.32,5416.46,73450.49,13896.18,11906.2,5563.99,46034.45,119484.94
Calendar,2019,7,General City Responsibilities,228883,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,8599347,0,59.65,0,59.65,0,0,4.72,4.72,64.37
Calendar,2019,6,General Administration & Finance,ADM,,351,"Municipal Exec Assoc, Misc",900,Management,932,Manager IV,8552925,122959.82,0,0,122959.82,22902.76,11935.78,17116.84,66622.72,189582.54
Calendar,2019,7,General City Responsibilities,232108,,790,"SEIU, Local 1021, Misc",3300,Park & Zoo,3310,Stable Attendant,8588382,0,1445.64,0,1445.64,0,0,114.49,114.49,1560.13
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,790,"SEIU, Local 1021, Misc",9900,Public Service Aide,9920,Publ Svc Aide-Asst to Prof,8515096,14917.2,0,0,14917.2,0,0,1172.08,1172.08,16089.28
